x, y, z, t, confidence
128.0, 885.0, 16.0, 0.0, 13.6234
439.0, 930.0, 27.0, 0.0, 13.6543
704.0, 450.0, 29.0, 0.0, 13.668
77.0, 837.0, 20.0, 0.0, 13.6886
491.0, 587.0, 4.0, 0.0, 13.7337
633.0, 555.0, 5.0, 0.0, 13.7342
838.0, 0.0, 20.0, 0.0, 13.7421
103.0, 296.0, 17.0, 0.0, 13.786
427.0, 552.0, 20.0, 0.0, 13.794
422.0, 846.0, 29.0, 0.0, 13.813
277.0, 966.0, 1.0, 0.0, 13.8139
84.0, 773.0, 18.0, 0.0, 13.8244
115.0, 744.0, 12.0, 0.0, 13.8338
36.0, 806.0, 14.0, 0.0, 13.8349
997.0, 848.0, 25.0, 0.0, 13.8466
102.0, 789.0, 11.0, 0.0, 13.8537
127.0, 809.0, 29.0, 0.0, 13.8578
1025.0, 146.0, 2.0, 0.0, 13.8669
272.0, 985.0, 1.0, 0.0, 13.8982
106.0, 950.0, 6.0, 0.0, 13.9475
569.0, 688.0, 24.0, 0.0, 13.9499
366.0, 194.0, 29.0, 0.0, 13.9796
434.0, 492.0, 6.0, 0.0, 14.0124
475.0, 860.0, 19.0, 0.0, 14.0339
252.0, 534.0, 29.0, 0.0, 14.062
361.0, 596.0, 8.0, 0.0, 14.0655
439.0, 26.0, 27.0, 0.0, 14.0757
495.0, 484.0, 19.0, 0.0, 14.1018
471.0, 452.0, 23.0, 0.0, 14.1167
351.0, 981.0, 21.0, 0.0, 14.142
700.0, 493.0, 7.0, 0.0, 14.16
186.0, 150.0, 11.0, 0.0, 14.2796
187.0, 115.0, 19.0, 0.0, 14.2819
497.0, 684.0, 29.0, 0.0, 14.4067
150.0, 185.0, 25.0, 0.0, 14.4103
166.0, 244.0, 7.0, 0.0, 14.4332
160.0, 634.0, 15.0, 0.0, 14.4654
235.0, 840.0, 16.0, 0.0, 14.4765
11.0, 812.0, 3.0, 0.0, 14.4815
478.0, 501.0, 5.0, 0.0, 14.4869
74.0, 164.0, 13.0, 0.0, 14.4993
129.0, 193.0, 13.0, 0.0, 14.5009
352.0, 704.0, 19.0, 0.0, 14.5038
474.0, 707.0, 29.0, 0.0, 14.5044
136.0, 766.0, 6.0, 0.0, 14.5167
248.0, 808.0, 22.0, 0.0, 14.5287
459.0, 695.0, 13.0, 0.0, 14.5421
205.0, 253.0, 29.0, 0.0, 14.5496
698.0, 880.0, 13.0, 0.0, 14.5941
47.0, 863.0, 11.0, 0.0, 14.5961
123.0, 959.0, 0.0, 0.0, 14.607
345.0, 764.0, 13.0, 0.0, 14.6474
500.0, 816.0, 29.0, 0.0, 14.7514
782.0, 1052.0, 21.0, 0.0, 14.7768
138.0, 183.0, 9.0, 0.0, 14.7865
673.0, 802.0, 29.0, 0.0, 14.807
1055.0, 69.0, 0.0, 0.0, 14.8181
